Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-16,7.8,13,30244,524,207,28,14,2.4,348|857|1398|1445|1500|1785|2060|2099|2260|2335|2534|2904|3643|3728|4205|4846|5156|5241|5581|5747|5774|7525|8503|8660|10152|10818|79109|152831,APOE|CAV1|CRK|CSK|CTNND1|DNM2|EPS15|ESR1|FGFR1|FN1|FYN|GRIN2B|INSR|JUP|MEF2A|NOS3|PDGFRA|PGR|PRKCE|PTK2|PTPN3|YES1|PIK3R3|IRS2|ABI2|FRS2|MAPKAP1|KLB,-13,cluster_1_x_name
GeDiPNet,37,GDP04906,Myocardial Infarction,,-16,9.9,14,30244,355,207,24,12,2.2,59|348|490|596|857|1152|1593|2099|3663|3672|4053|4088|4205|4846|4881|5156|5581|7040|8204|9612|23411|50507|51530|79109,ACTA2|APOE|ATP2B1|BCL2|CAV1|CKB|CYP27A1|ESR1|IRF5|ITGA1|LTBP2|SMAD3|MEF2A|NOS3|NPR1|PDGFRA|PRKCE|TGFB1|NRIP1|NCOR2|SIRT1|NOX4|ZC3HC1|MAPKAP1,-13,cluster_1_x_name
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-16,7,13,30244,628,207,30,14,2.4,154|658|1398|1655|2260|2268|2534|3643|4035|4053|4088|4643|4881|5156|5587|5747|6259|6497|6720|7040|7049|7525|8412|8503|8660|10818|10979|23236|23411|152831,ADRB2|BMPR1B|CRK|DDX5|FGFR1|FGR|FYN|INSR|LRP1|LTBP2|SMAD3|MYO1E|NPR1|PDGFRA|PRKD1|PTK2|RYK|SKI|SREBF1|TGFB1|TGFBR3|YES1|BCAR3|PIK3R3|IRS2|FRS2|FERMT2|PLCB1|SIRT1|KLB,-13,cluster_1_x_name
GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-16,6.1,12,30244,788,207,33,16,2.5,358|490|595|596|842|857|1152|1373|1398|1445|1584|1605|1655|2099|3643|4846|5241|5581|5747|5970|6720|6833|7040|7049|8289|8412|8503|8660|10266|23236|23411|27347|85004,AQP1|ATP2B1|CCND1|BCL2|CASP9|CAV1|CKB|CPS1|CRK|CSK|CYP11B1|DAG1|DDX5|ESR1|INSR|NOS3|PGR|PRKCE|PTK2|RELA|SREBF1|ABCC8|TGFB1|TGFBR3|ARID1A|BCAR3|PIK3R3|IRS2|RAMP2|PLCB1|SIRT1|STK39|RERG,-13,cluster_1_x_name
GO Biological Processes,19,GO:0010035,response to inorganic substance,19_GO:0050896 response to stimulus,-16,7.6,13,30244,539,207,28,14,2.4,358|595|596|842|857|1373|1398|1544|1584|1785|2534|2696|4205|4846|5530|5970|6523|6546|6558|6833|6857|7369|9033|23236|23411|27347|64116|79901,AQP1|CCND1|BCL2|CASP9|CAV1|CPS1|CRK|CYP1A2|CYP11B1|DNM2|FYN|GIPR|MEF2A|NOS3|PPP3CA|RELA|SLC5A1|SLC8A1|SLC12A2|ABCC8|SYT1|UMOD|PKD2L1|PLCB1|SIRT1|STK39|SLC39A8|CYBRD1,-13,cluster_1_x_name
GO Biological Processes,19,GO:0030001,metal ion transport,19_GO:0051179 localization,-15,6.6,12,30244,638,207,29,14,2.4,358|490|596|857|1785|2534|2904|3767|4846|4988|5530|6523|6546|6558|6833|7369|9033|10060|10266|23236|26133|27347|54822|57130|57282|57419|64116|79901|89780,AQP1|ATP2B1|BCL2|CAV1|DNM2|FYN|GRIN2B|KCNJ11|NOS3|OPRM1|PPP3CA|SLC5A1|SLC8A1|SLC12A2|ABCC8|UMOD|PKD2L1|ABCC9|RAMP2|PLCB1|TRPC4AP|STK39|TRPM7|ATP13A1|SLC4A10|SLC24A3|SLC39A8|CYBRD1|WNT3A,-12,cluster_1_x_name
WikiPathways,27,WP366,TGF-beta signaling pathway,,-15,18,16,30244,132,207,16,7.7,1.9,595|857|1026|2335|4088|4205|5596|5747|6497|7040|7049|7329|8554|8945|23327|150094,CCND1|CAV1|CDKN1A|FN1|SMAD3|MEF2A|MAPK4|PTK2|SKI|TGFB1|TGFBR3|UBE2I|PIAS1|BTRC|NEDD4L|SIK1,-12,cluster_1_x_name
GO Biological Processes,19,GO:0042327,positive regulation of phosphorylation,19_GO:0048518 positive regulation of biological process,-15,5.9,11,30244,773,207,31,15,2.5,154|595|596|857|1026|1445|1605|1855|2260|2268|2534|2547|3643|5156|5208|5217|5571|5587|5747|6259|7040|7525|8412|8503|10979|23411|28232|50507|51422|79109|89780,ADRB2|CCND1|BCL2|CAV1|CDKN1A|CSK|DAG1|DVL1|FGFR1|FGR|FYN|XRCC6|INSR|PDGFRA|PFKFB2|PFN2|PRKAG1|PRKD1|PTK2|RYK|TGFB1|YES1|BCAR3|PIK3R3|FERMT2|SIRT1|SLCO3A1|NOX4|PRKAG2|MAPKAP1|WNT3A,-11,cluster_1_x_name
GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-14,7.3,12,30244,521,207,26,13,2.3,59|463|658|857|1373|1398|1655|2260|2534|3643|4053|4088|4988|5156|5587|5747|5970|6497|7040|7049|7525|10266|10818|10979|23411|152831,ACTA2|ZFHX3|BMPR1B|CAV1|CPS1|CRK|DDX5|FGFR1|FYN|INSR|LTBP2|SMAD3|OPRM1|PDGFRA|PRKD1|PTK2|RELA|SKI|TGFB1|TGFBR3|YES1|RAMP2|FRS2|FERMT2|SIRT1|KLB,-11,cluster_1_x_name
GO Biological Processes,19,GO:0045859,regulation of protein kinase activity,19_GO:0008152 metabolic process,-14,6.6,12,30244,623,207,28,14,2.4,154|348|595|857|898|905|1026|1031|1445|1605|1843|1855|2260|2268|2547|3643|5571|5728|5747|6546|7040|10614|10979|23411|50507|51422|80824|89780,ADRB2|APOE|CCND1|CAV1|CCNE1|CCNT2|CDKN1A|CDKN2C|CSK|DAG1|DUSP1|DVL1|FGFR1|FGR|XRCC6|INSR|PRKAG1|PTEN|PTK2|SLC8A1|TGFB1|HEXIM1|FERMT2|SIRT1|NOX4|PRKAG2|DUSP16|WNT3A,-11,cluster_1_x_name
GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-14,6.5,12,30244,632,207,28,14,2.4,164|348|358|406|1855|2268|2696|2697|3767|4881|4988|5208|5217|5530|5581|5868|6558|6720|6833|6857|6934|7040|8660|11267|23236|27347|55107|134957,AP1G1|APOE|AQP1|BMAL1|DVL1|FGR|GIPR|GJA1|KCNJ11|NPR1|OPRM1|PFKFB2|PFN2|PPP3CA|PRKCE|RAB5A|SLC12A2|SREBF1|ABCC8|SYT1|TCF7L2|TGFB1|IRS2|SNF8|PLCB1|STK39|ANO1|STXBP5,-11,cluster_1_x_name
GO Biological Processes,19,GO:0006468,protein phosphorylation,19_GO:0008152 metabolic process,-14,6.1,11,30244,692,207,29,14,2.4,595|596|658|857|898|1445|2260|2268|2534|3643|4881|5156|5571|5581|5586|5587|5596|5747|7040|7049|7369|7525|10152|10783|23683|27347|51422|54822|150094,CCND1|BCL2|BMPR1B|CAV1|CCNE1|CSK|FGFR1|FGR|FYN|INSR|NPR1|PDGFRA|PRKAG1|PRKCE|PKN2|PRKD1|MAPK4|PTK2|TGFB1|TGFBR3|UMOD|YES1|ABI2|NEK6|PRKD3|STK39|PRKAG2|TRPM7|SIK1,-11,cluster_1_x_name
GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-14,6.1,11,30244,694,207,29,14,2.4,59|154|348|857|1398|1445|1605|1843|1844|2260|2335|3643|3672|4988|5156|5581|5728|6237|6259|7040|8412|10174|10818|10979|23236|27347|50507|80824|152831,ACTA2|ADRB2|APOE|CAV1|CRK|CSK|DAG1|DUSP1|DUSP2|FGFR1|FN1|INSR|ITGA1|OPRM1|PDGFRA|PRKCE|PTEN|RRAS|RYK|TGFB1|BCAR3|SORBS3|FRS2|FERMT2|PLCB1|STK39|NOX4|DUSP16|KLB,-11,cluster_1_x_name
GO Biological Processes,19,GO:1901652,response to peptide,19_GO:0050896 response to stimulus,-14,7.6,12,30244,459,207,24,12,2.2,154|857|1373|1398|1445|1584|1605|2534|2697|3643|3663|4035|4792|5747|5970|6720|6833|7049|8412|8503|8660|23236|23411|55107,ADRB2|CAV1|CPS1|CRK|CSK|CYP11B1|DAG1|FYN|GJA1|INSR|IRF5|LRP1|NFKBIA|PTK2|RELA|SREBF1|ABCC8|TGFBR3|BCAR3|PIK3R3|IRS2|PLCB1|SIRT1|ANO1,-11,cluster_1_x_name
KEGG Pathway,24,hsa04218,Cellular senescence,,-14,15,15,30244,156,207,16,7.7,1.9,595|898|1026|2309|4088|4773|5530|5728|5970|6237|7040|8503|8945|22808|23411|54822,CCND1|CCNE1|CDKN1A|FOXO3|SMAD3|NFATC2|PPP3CA|PTEN|RELA|RRAS|TGFB1|PIK3R3|BTRC|MRAS|SIRT1|TRPM7,-11,cluster_1_x_name
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-14,6.7,11,30244,568,207,26,13,2.3,59|358|596|857|1398|2260|2268|2335|3643|4088|4846|5156|5530|5581|5587|5747|6237|6546|7040|7205|7329|8503|8660|10979|23411|27347,ACTA2|AQP1|BCL2|CAV1|CRK|FGFR1|FGR|FN1|INSR|SMAD3|NOS3|PDGFRA|PPP3CA|PRKCE|PRKD1|PTK2|RRAS|SLC8A1|TGFB1|TRIP6|UBE2I|PIK3R3|IRS2|FERMT2|SIRT1|STK39,-11,cluster_1_x_name
GO Biological Processes,19,GO:0006812,monoatomic cation transport,19_GO:0051179 localization,-14,5.5,11,30244,790,207,30,14,2.4,358|490|596|857|1785|2534|2904|3767|4846|4988|5530|6523|6546|6558|6833|7369|9033|10060|10266|23236|26133|27347|54822|55107|57130|57282|57419|64116|79901|89780,AQP1|ATP2B1|BCL2|CAV1|DNM2|FYN|GRIN2B|KCNJ11|NOS3|OPRM1|PPP3CA|SLC5A1|SLC8A1|SLC12A2|ABCC8|UMOD|PKD2L1|ABCC9|RAMP2|PLCB1|TRPC4AP|STK39|TRPM7|ANO1|ATP13A1|SLC4A10|SLC24A3|SLC39A8|CYBRD1|WNT3A,-10,cluster_1_x_name
GO Biological Processes,19,GO:0051347,positive regulation of transferase activity,19_GO:0065007 biological regulation,-14,7,11,30244,523,207,25,12,2.3,154|348|595|1026|1445|1605|2260|2268|2547|3643|5156|5208|5571|5587|5728|5747|6259|7040|7329|8945|10979|23411|50507|51422|89780,ADRB2|APOE|CCND1|CDKN1A|CSK|DAG1|FGFR1|FGR|XRCC6|INSR|PDGFRA|PFKFB2|PRKAG1|PRKD1|PTEN|PTK2|RYK|TGFB1|UBE2I|BTRC|FERMT2|SIRT1|NOX4|PRKAG2|WNT3A,-10,cluster_1_x_name
WikiPathways,27,WP710,DNA damage response (only ATM dependent),,-13,18,15,30244,111,207,14,6.8,1.7,595|596|1026|1855|2309|3643|4088|5287|5529|5728|6934|7040|8503|89780,CCND1|BCL2|CDKN1A|DVL1|FOXO3|INSR|SMAD3|PIK3C2B|PPP2R5E|PTEN|TCF7L2|TGFB1|PIK3R3|WNT3A,-10,cluster_1_x_name
GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-13,6.4,11,30244,589,207,26,13,2.3,154|348|358|490|857|1129|1605|1855|2309|2697|2904|3728|4088|4205|4624|4846|4881|4988|5530|5728|6546|6720|6833|10060|27347|79068,ADRB2|APOE|AQP1|ATP2B1|CAV1|CHRM2|DAG1|DVL1|FOXO3|GJA1|GRIN2B|JUP|SMAD3|MEF2A|MYH6|NOS3|NPR1|OPRM1|PPP3CA|PTEN|SLC8A1|SREBF1|ABCC8|ABCC9|STK39|FTO,-10,cluster_1_x_name
GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-13,7.2,11,30244,489,207,24,12,2.2,59|658|857|1373|1398|1655|2260|2534|3643|4053|4088|5156|5587|5747|5970|6497|7040|7049|7525|10266|10818|10979|23411|152831,ACTA2|BMPR1B|CAV1|CPS1|CRK|DDX5|FGFR1|FYN|INSR|LTBP2|SMAD3|PDGFRA|PRKD1|PTK2|RELA|SKI|TGFB1|TGFBR3|YES1|RAMP2|FRS2|FERMT2|SIRT1|KLB,-10,cluster_1_x_name
GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-13,6.4,11,30244,593,207,26,13,2.3,59|358|596|857|1398|2260|2268|2335|3643|4088|4846|5156|5530|5581|5587|5747|6237|6546|7040|7205|7329|8503|8660|10979|23411|27347,ACTA2|AQP1|BCL2|CAV1|CRK|FGFR1|FGR|FN1|INSR|SMAD3|NOS3|PDGFRA|PPP3CA|PRKCE|PRKD1|PTK2|RRAS|SLC8A1|TGFB1|TRIP6|UBE2I|PIK3R3|IRS2|FERMT2|SIRT1|STK39,-10,cluster_1_x_name
GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-13,6.9,11,30244,505,207,24,12,2.2,358|490|842|857|1152|1373|1398|1445|1584|1655|2099|3643|5241|5581|5747|5970|6720|8289|8412|8503|8660|10266|23236|23411,AQP1|ATP2B1|CASP9|CAV1|CKB|CPS1|CRK|CSK|CYP11B1|DDX5|ESR1|INSR|PGR|PRKCE|PTK2|RELA|SREBF1|ARID1A|BCAR3|PIK3R3|IRS2|RAMP2|PLCB1|SIRT1,-10,cluster_1_x_name
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-13,6.2,11,30244,608,207,26,13,2.3,59|358|596|857|1398|2260|2268|2335|3643|4088|4846|5156|5530|5581|5587|5747|6237|6546|7040|7205|7329|8503|8660|10979|23411|27347,ACTA2|AQP1|BCL2|CAV1|CRK|FGFR1|FGR|FN1|INSR|SMAD3|NOS3|PDGFRA|PPP3CA|PRKCE|PRKD1|PTK2|RRAS|SLC8A1|TGFB1|TRIP6|UBE2I|PIK3R3|IRS2|FERMT2|SIRT1|STK39,-10,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-5683057,MAPK family signaling cascades,,-13,9,12,30244,325,207,20,9.7,2.1,1445|1843|1844|2260|2309|2335|2534|2904|5156|5529|5596|5747|5774|7094|7514|8660|10818|22808|80824|152831,CSK|DUSP1|DUSP2|FGFR1|FOXO3|FN1|FYN|GRIN2B|PDGFRA|PPP2R5E|MAPK4|PTK2|PTPN3|TLN1|XPO1|IRS2|FRS2|MRAS|DUSP16|KLB,-10,cluster_1_x_name
GeDiPNet,37,GDP00611,Atrial Fibrillation,,-13,11,13,30244,248,207,18,8.7,2,463|490|857|1026|1557|4088|4624|4846|5747|6934|7514|9644|10060|23411|51422|64116|79068|84871,ZFHX3|ATP2B1|CAV1|CDKN1A|CYP2C19|SMAD3|MYH6|NOS3|PTK2|TCF7L2|XPO1|SH3PXD2A|ABCC9|SIRT1|PRKAG2|SLC39A8|FTO|AGBL4,-10,cluster_1_x_name
WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-13,15,14,30244,150,207,15,7.2,1.8,1129|1398|1445|2260|2335|3672|5156|5287|5596|5747|6237|8395|8503|10152|22808,CHRM2|CRK|CSK|FGFR1|FN1|ITGA1|PDGFRA|PIK3C2B|MAPK4|PTK2|RRAS|PIP5K1B|PIK3R3|ABI2|MRAS,-9.9,cluster_1_x_name
GO Biological Processes,19,GO:0007507,heart development,19_GO:0032502 developmental process,-13,6.5,11,30244,562,207,25,12,2.3,1026|1605|1855|2335|2697|3643|4088|4205|4624|4846|5156|5728|5747|6497|6546|7040|7049|8572|10266|10614|10818|50507|59343|89780|150094,CDKN1A|DAG1|DVL1|FN1|GJA1|INSR|SMAD3|MEF2A|MYH6|NOS3|PDGFRA|PTEN|PTK2|SKI|SLC8A1|TGFB1|TGFBR3|PDLIM4|RAMP2|HEXIM1|FRS2|NOX4|SENP2|WNT3A|SIK1,-9.9,cluster_1_x_name
GO Biological Processes,19,GO:0051223,regulation of protein transport,19_GO:0051179 localization,-13,6.8,11,30244,519,207,24,12,2.2,348|406|1445|2534|2696|3728|3767|4088|4988|5208|5530|5581|5587|6558|6720|6833|6934|7040|7369|7514|8660|23236|55107|134957,APOE|BMAL1|CSK|FYN|GIPR|JUP|KCNJ11|SMAD3|OPRM1|PFKFB2|PPP3CA|PRKCE|PRKD1|SLC12A2|SREBF1|ABCC8|TCF7L2|TGFB1|UMOD|XPO1|IRS2|PLCB1|ANO1|STXBP5,-9.8,cluster_1_x_name
GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-13,5.8,11,30244,679,207,27,13,2.3,348|596|857|1605|1855|2099|2335|4035|4088|4643|4846|4883|5156|5241|5587|5747|6201|6497|7040|7049|8503|8945|10266|23411|23654|56913|89780,APOE|BCL2|CAV1|DAG1|DVL1|ESR1|FN1|LRP1|SMAD3|MYO1E|NOS3|NPR3|PDGFRA|PGR|PRKD1|PTK2|RPS7|SKI|TGFB1|TGFBR3|PIK3R3|BTRC|RAMP2|SIRT1|PLXNB2|C1GALT1|WNT3A,-9.8,cluster_1_x_name
GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-13,6.4,11,30244,573,207,25,12,2.3,164|348|406|1855|2268|2696|2697|3767|4988|5208|5217|5530|5581|5868|6558|6720|6833|6857|6934|7040|8660|11267|23236|55107|134957,AP1G1|APOE|BMAL1|DVL1|FGR|GIPR|GJA1|KCNJ11|OPRM1|PFKFB2|PFN2|PPP3CA|PRKCE|RAB5A|SLC12A2|SREBF1|ABCC8|SYT1|TCF7L2|TGFB1|IRS2|SNF8|PLCB1|ANO1|STXBP5,-9.8,cluster_1_x_name
GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-13,6.7,11,30244,522,207,24,12,2.2,348|596|1398|1445|1488|1500|1855|2335|2534|2697|3643|3728|4088|5217|5586|5728|6259|7040|7094|7205|10266|10979|23654|89780,APOE|BCL2|CRK|CSK|CTBP2|CTNND1|DVL1|FN1|FYN|GJA1|INSR|JUP|SMAD3|PFN2|PKN2|PTEN|RYK|TGFB1|TLN1|TRIP6|RAMP2|FERMT2|PLXNB2|WNT3A,-9.8,cluster_1_x_name
GO Biological Processes,19,GO:1902074,response to salt,19_GO:0050896 response to stimulus,-13,8.1,12,30244,381,207,21,10,2.1,595|857|1129|1584|1785|2534|2696|3767|4205|4988|5530|5581|6546|6558|6857|7369|9033|10060|23236|23376|27347,CCND1|CAV1|CHRM2|CYP11B1|DNM2|FYN|GIPR|KCNJ11|MEF2A|OPRM1|PPP3CA|PRKCE|SLC8A1|SLC12A2|SYT1|UMOD|PKD2L1|ABCC9|PLCB1|UFL1|STK39,-9.7,cluster_1_x_name
KEGG Pathway,24,hsa05200,Pathways in cancer,,-12,6.6,11,30244,531,207,24,12,2.2,595|596|842|898|1026|1398|1488|1855|2099|2260|2335|3728|4088|4292|4792|5156|5728|5747|5970|6934|7040|8503|23236|89780,CCND1|BCL2|CASP9|CCNE1|CDKN1A|CRK|CTBP2|DVL1|ESR1|FGFR1|FN1|JUP|SMAD3|MLH1|NFKBIA|PDGFRA|PTEN|PTK2|RELA|TCF7L2|TGFB1|PIK3R3|PLCB1|WNT3A,-9.6,cluster_1_x_name
Reactome Gene Sets,6,R-HSA-2219528,PI3K/AKT Signaling in Cancer,,-12,18,15,30244,104,207,13,6.3,1.7,842|1026|2099|2260|2309|2534|5156|5728|8503|8660|10818|79109|152831,CASP9|CDKN1A|ESR1|FGFR1|FOXO3|FYN|PDGFRA|PTEN|PIK3R3|IRS2|FRS2|MAPKAP1|KLB,-9.6,cluster_1_x_name
WikiPathways,27,WP5087,Malignant pleural mesothelioma,,-12,7.3,11,30244,440,207,22,11,2.1,59|595|596|898|1026|1488|1855|2260|2335|3643|3672|5156|5571|5728|5747|6259|6934|7040|8945|51422|59343|89780,ACTA2|CCND1|BCL2|CCNE1|CDKN1A|CTBP2|DVL1|FGFR1|FN1|INSR|ITGA1|PDGFRA|PRKAG1|PTEN|PTK2|RYK|TCF7L2|TGFB1|BTRC|PRKAG2|SENP2|WNT3A,-9.5,cluster_1_x_name
GO Biological Processes,19,GO:0071417,cellular response to organonitrogen compound,19_GO:0050896 response to stimulus,-12,6.1,10,30244,596,207,25,12,2.3,154|358|857|1129|1373|1398|1445|1584|1785|2534|2697|3643|3728|4035|4988|5156|5747|5970|6546|6720|8412|8503|8660|23236|55107,ADRB2|AQP1|CAV1|CHRM2|CPS1|CRK|CSK|CYP11B1|DNM2|FYN|GJA1|INSR|JUP|LRP1|OPRM1|PDGFRA|PTK2|RELA|SLC8A1|SREBF1|BCAR3|PIK3R3|IRS2|PLCB1|ANO1,-9.4,cluster_1_x_name
