Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
cluster_1_x_name,GO Biological Processes,19,GO:0008015,blood circulation,19_GO:0032501 multicellular organismal process,-16,9.9,14,30244,402,183,24,13,2.5,59|154|348|490|857|1373|1584|2697|3672|4088|4624|4846|4881|4883|6833|7040|7525|10060|10266|10979|23327|23576|27347|83988,ACTA2|ADRB2|APOE|ATP2B1|CAV1|CPS1|CYP11B1|GJA1|ITGA1|SMAD3|MYH6|NOS3|NPR1|NPR3|ABCC8|TGFB1|YES1|ABCC9|RAMP2|FERMT2|NEDD4L|DDAH1|STK39|NCALD,-13
cluster_1_x_name,GeDiPNet,37,GDP03364,Hypertension,,-16,8.1,13,30244,550,183,27,15,2.6,59|348|358|490|595|596|857|1584|2335|2697|4088|4205|4650|4773|4846|4881|5728|5970|6558|7040|7049|7525|9351|10864|23327|27347|50507,ACTA2|APOE|AQP1|ATP2B1|CCND1|BCL2|CAV1|CYP11B1|FN1|GJA1|SMAD3|MEF2A|MYO9B|NFATC2|NOS3|NPR1|PTEN|RELA|SLC12A2|TGFB1|TGFBR3|YES1|NHERF2|SLC22A7|NEDD4L|STK39|NOX4,-13
cluster_1_x_name,GO Biological Processes,19,GO:0009725,response to hormone,19_GO:0050896 response to stimulus,-16,6.5,12,30244,788,183,31,17,2.8,358|490|595|596|857|1152|1373|1398|1445|1584|1605|1655|2099|3643|4846|5241|5581|5747|5970|6720|6833|7040|7049|8289|8503|8660|10266|23236|23411|27347|85004,AQP1|ATP2B1|CCND1|BCL2|CAV1|CKB|CPS1|CRK|CSK|CYP11B1|DAG1|DDX5|ESR1|INSR|NOS3|PGR|PRKCE|PTK2|RELA|SREBF1|ABCC8|TGFB1|TGFBR3|ARID1A|PIK3R3|IRS2|RAMP2|PLCB1|SIRT1|STK39|RERG,-13
cluster_1_x_name,WikiPathways,27,WP366,TGF-beta signaling pathway,,-16,20,17,30244,132,183,16,8.7,2.1,595|857|1026|2335|4088|4205|5596|5747|6497|7040|7049|7329|8554|8945|23327|150094,CCND1|CAV1|CDKN1A|FN1|SMAD3|MEF2A|MAPK4|PTK2|SKI|TGFB1|TGFBR3|UBE2I|PIAS1|BTRC|NEDD4L|SIK1,-13
cluster_1_x_name,GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0050896 response to stimulus,-16,7.4,13,30244,628,183,28,15,2.7,154|658|1398|1655|2260|2268|2534|3643|4035|4088|4643|4881|5156|5587|5747|6259|6497|6720|7040|7049|7525|8503|8660|10818|10979|23236|23411|152831,ADRB2|BMPR1B|CRK|DDX5|FGFR1|FGR|FYN|INSR|LRP1|SMAD3|MYO1E|NPR1|PDGFRA|PRKD1|PTK2|RYK|SKI|SREBF1|TGFB1|TGFBR3|YES1|PIK3R3|IRS2|FRS2|FERMT2|PLCB1|SIRT1|KLB,-13
cluster_1_x_name,GO Biological Processes,19,GO:0042327,positive regulation of phosphorylation,19_GO:0048518 positive regulation of biological process,-15,6.4,12,30244,773,183,30,16,2.7,154|595|596|857|1026|1445|1605|1855|2260|2268|2534|2547|3643|5156|5208|5217|5571|5587|5747|6259|7040|7525|8503|10979|23411|28232|50507|51422|79109|89780,ADRB2|CCND1|BCL2|CAV1|CDKN1A|CSK|DAG1|DVL1|FGFR1|FGR|FYN|XRCC6|INSR|PDGFRA|PFKFB2|PFN2|PRKAG1|PRKD1|PTK2|RYK|TGFB1|YES1|PIK3R3|FERMT2|SIRT1|SLCO3A1|NOX4|PRKAG2|MAPKAP1|WNT3A,-12
cluster_1_x_name,GO Biological Processes,19,GO:0045859,regulation of protein kinase activity,19_GO:0008152 metabolic process,-15,7.2,12,30244,623,183,27,15,2.6,154|348|595|857|898|905|1026|1031|1445|1605|1843|1855|2260|2268|2547|3643|5571|5728|5747|7040|10614|10979|23411|50507|51422|80824|89780,ADRB2|APOE|CCND1|CAV1|CCNE1|CCNT2|CDKN1A|CDKN2C|CSK|DAG1|DUSP1|DVL1|FGFR1|FGR|XRCC6|INSR|PRKAG1|PTEN|PTK2|TGFB1|HEXIM1|FERMT2|SIRT1|NOX4|PRKAG2|DUSP16|WNT3A,-12
cluster_1_x_name,GO Biological Processes,19,GO:0070848,response to growth factor,19_GO:0050896 response to stimulus,-15,7.9,12,30244,521,183,25,14,2.5,59|463|658|857|1373|1398|1655|2260|2534|3643|4088|4988|5156|5587|5747|5970|6497|7040|7049|7525|10266|10818|10979|23411|152831,ACTA2|ZFHX3|BMPR1B|CAV1|CPS1|CRK|DDX5|FGFR1|FYN|INSR|SMAD3|OPRM1|PDGFRA|PRKD1|PTK2|RELA|SKI|TGFB1|TGFBR3|YES1|RAMP2|FRS2|FERMT2|SIRT1|KLB,-12
cluster_1_x_name,GO Biological Processes,19,GO:0051347,positive regulation of transferase activity,19_GO:0065007 biological regulation,-15,7.9,12,30244,523,183,25,14,2.5,154|348|595|1026|1445|1605|2260|2268|2547|3643|5156|5208|5571|5587|5728|5747|6259|7040|7329|8945|10979|23411|50507|51422|89780,ADRB2|APOE|CCND1|CDKN1A|CSK|DAG1|FGFR1|FGR|XRCC6|INSR|PDGFRA|PFKFB2|PRKAG1|PRKD1|PTEN|PTK2|RYK|TGFB1|UBE2I|BTRC|FERMT2|SIRT1|NOX4|PRKAG2|WNT3A,-12
cluster_1_x_name,GO Biological Processes,19,GO:0006468,protein phosphorylation,19_GO:0008152 metabolic process,-15,6.7,12,30244,692,183,28,15,2.7,595|596|658|857|898|1445|2260|2268|2534|3643|4881|5156|5571|5581|5586|5587|5596|5747|7040|7049|7525|10152|10783|23683|27347|51422|54822|150094,CCND1|BCL2|BMPR1B|CAV1|CCNE1|CSK|FGFR1|FGR|FYN|INSR|NPR1|PDGFRA|PRKAG1|PRKCE|PKN2|PRKD1|MAPK4|PTK2|TGFB1|TGFBR3|YES1|ABI2|NEK6|PRKD3|STK39|PRKAG2|TRPM7|SIK1,-12
cluster_1_x_name,KEGG Pathway,24,hsa04218,Cellular senescence,,-15,17,16,30244,156,183,16,8.7,2.1,595|898|1026|2309|4088|4773|5530|5728|5970|6237|7040|8503|8945|22808|23411|54822,CCND1|CCNE1|CDKN1A|FOXO3|SMAD3|NFATC2|PPP3CA|PTEN|RELA|RRAS|TGFB1|PIK3R3|BTRC|MRAS|SIRT1|TRPM7,-12
cluster_1_x_name,GO Biological Processes,19,GO:0043408,regulation of MAPK cascade,19_GO:0050896 response to stimulus,-15,6.7,12,30244,694,183,28,15,2.7,59|154|348|857|1398|1445|1605|1843|1844|2260|2335|3643|3672|4988|5156|5581|5728|6237|6259|7040|10174|10818|10979|23236|27347|50507|80824|152831,ACTA2|ADRB2|APOE|CAV1|CRK|CSK|DAG1|DUSP1|DUSP2|FGFR1|FN1|INSR|ITGA1|OPRM1|PDGFRA|PRKCE|PTEN|RRAS|RYK|TGFB1|SORBS3|FRS2|FERMT2|PLCB1|STK39|NOX4|DUSP16|KLB,-12
cluster_1_x_name,WikiPathways,27,WP710,DNA damage response (only ATM dependent),,-14,21,16,30244,111,183,14,7.7,2,595|596|1026|1855|2309|3643|4088|5287|5529|5728|6934|7040|8503|89780,CCND1|BCL2|CDKN1A|DVL1|FOXO3|INSR|SMAD3|PIK3C2B|PPP2R5E|PTEN|TCF7L2|TGFB1|PIK3R3|WNT3A,-11
cluster_1_x_name,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-14,7.3,12,30244,568,183,25,14,2.5,59|358|596|857|1398|2260|2268|2335|3643|4088|4846|5156|5530|5581|5587|5747|6237|7040|7205|7329|8503|8660|10979|23411|27347,ACTA2|AQP1|BCL2|CAV1|CRK|FGFR1|FGR|FN1|INSR|SMAD3|NOS3|PDGFRA|PPP3CA|PRKCE|PRKD1|PTK2|RRAS|TGFB1|TRIP6|UBE2I|PIK3R3|IRS2|FERMT2|SIRT1|STK39,-11
cluster_1_x_name,Reactome Gene Sets,6,R-HSA-5683057,MAPK family signaling cascades,,-14,10,13,30244,325,183,20,11,2.3,1445|1843|1844|2260|2309|2335|2534|2904|5156|5529|5596|5747|5774|7094|7514|8660|10818|22808|80824|152831,CSK|DUSP1|DUSP2|FGFR1|FOXO3|FN1|FYN|GRIN2B|PDGFRA|PPP2R5E|MAPK4|PTK2|PTPN3|TLN1|XPO1|IRS2|FRS2|MRAS|DUSP16|KLB,-11
cluster_1_x_name,GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-14,6.8,11,30244,632,183,26,14,2.6,164|348|358|406|1855|2268|2696|2697|3767|4881|4988|5208|5217|5530|5581|5868|6558|6720|6833|6857|6934|7040|8660|11267|23236|27347,AP1G1|APOE|AQP1|BMAL1|DVL1|FGR|GIPR|GJA1|KCNJ11|NPR1|OPRM1|PFKFB2|PFN2|PPP3CA|PRKCE|RAB5A|SLC12A2|SREBF1|ABCC8|SYT1|TCF7L2|TGFB1|IRS2|SNF8|PLCB1|STK39,-11
cluster_1_x_name,GO Biological Processes,19,GO:0034330,cell junction organization,19_GO:0009987 cellular process,-14,7.6,12,30244,522,183,24,13,2.5,348|596|1398|1445|1488|1500|1855|2335|2534|2697|3643|3728|4088|5217|5586|5728|6259|7040|7094|7205|10266|10979|23654|89780,APOE|BCL2|CRK|CSK|CTBP2|CTNND1|DVL1|FN1|FYN|GJA1|INSR|JUP|SMAD3|PFN2|PKN2|PTEN|RYK|TGFB1|TLN1|TRIP6|RAMP2|FERMT2|PLXNB2|WNT3A,-11
cluster_1_x_name,WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-14,17,15,30244,150,183,15,8.2,2,1129|1398|1445|2260|2335|3672|5156|5287|5596|5747|6237|8395|8503|10152|22808,CHRM2|CRK|CSK|FGFR1|FN1|ITGA1|PDGFRA|PIK3C2B|MAPK4|PTK2|RRAS|PIP5K1B|PIK3R3|ABI2|MRAS,-11
cluster_1_x_name,GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-14,7,12,30244,589,183,25,14,2.5,154|348|358|490|857|1129|1605|1855|2309|2697|2904|3728|4088|4205|4624|4846|4881|4988|5530|5728|6720|6833|10060|27347|79068,ADRB2|APOE|AQP1|ATP2B1|CAV1|CHRM2|DAG1|DVL1|FOXO3|GJA1|GRIN2B|JUP|SMAD3|MEF2A|MYH6|NOS3|NPR1|OPRM1|PPP3CA|PTEN|SREBF1|ABCC8|ABCC9|STK39|FTO,-11
cluster_1_x_name,GO Biological Processes,19,GO:2000147,positive regulation of cell motility,19_GO:0040011 locomotion,-14,7,11,30244,593,183,25,14,2.5,59|358|596|857|1398|2260|2268|2335|3643|4088|4846|5156|5530|5581|5587|5747|6237|7040|7205|7329|8503|8660|10979|23411|27347,ACTA2|AQP1|BCL2|CAV1|CRK|FGFR1|FGR|FN1|INSR|SMAD3|NOS3|PDGFRA|PPP3CA|PRKCE|PRKD1|PTK2|RRAS|TGFB1|TRIP6|UBE2I|PIK3R3|IRS2|FERMT2|SIRT1|STK39,-11
cluster_1_x_name,GO Biological Processes,19,GO:0071363,cellular response to growth factor stimulus,19_GO:0050896 response to stimulus,-13,7.8,12,30244,489,183,23,13,2.5,59|658|857|1373|1398|1655|2260|2534|3643|4088|5156|5587|5747|5970|6497|7040|7049|7525|10266|10818|10979|23411|152831,ACTA2|BMPR1B|CAV1|CPS1|CRK|DDX5|FGFR1|FYN|INSR|SMAD3|PDGFRA|PRKD1|PTK2|RELA|SKI|TGFB1|TGFBR3|YES1|RAMP2|FRS2|FERMT2|SIRT1|KLB,-11
cluster_1_x_name,WikiPathways,27,WP5087,Malignant pleural mesothelioma,,-13,8.3,12,30244,440,183,22,12,2.4,59|595|596|898|1026|1488|1855|2260|2335|3643|3672|5156|5571|5728|5747|6259|6934|7040|8945|51422|59343|89780,ACTA2|CCND1|BCL2|CCNE1|CDKN1A|CTBP2|DVL1|FGFR1|FN1|INSR|ITGA1|PDGFRA|PRKAG1|PTEN|PTK2|RYK|TCF7L2|TGFB1|BTRC|PRKAG2|SENP2|WNT3A,-11
cluster_1_x_name,GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-13,6.8,11,30244,608,183,25,14,2.5,59|358|596|857|1398|2260|2268|2335|3643|4088|4846|5156|5530|5581|5587|5747|6237|7040|7205|7329|8503|8660|10979|23411|27347,ACTA2|AQP1|BCL2|CAV1|CRK|FGFR1|FGR|FN1|INSR|SMAD3|NOS3|PDGFRA|PPP3CA|PRKCE|PRKD1|PTK2|RRAS|TGFB1|TRIP6|UBE2I|PIK3R3|IRS2|FERMT2|SIRT1|STK39,-10
cluster_1_x_name,GO Biological Processes,19,GO:0007507,heart development,19_GO:0032502 developmental process,-13,7.1,11,30244,562,183,24,13,2.5,1026|1605|1855|2335|2697|3643|4088|4205|4624|4846|5156|5728|5747|6497|7040|7049|8572|10266|10614|10818|50507|59343|89780|150094,CDKN1A|DAG1|DVL1|FN1|GJA1|INSR|SMAD3|MEF2A|MYH6|NOS3|PDGFRA|PTEN|PTK2|SKI|TGFB1|TGFBR3|PDLIM4|RAMP2|HEXIM1|FRS2|NOX4|SENP2|WNT3A|SIK1,-10
cluster_1_x_name,GO Biological Processes,19,GO:0040008,regulation of growth,19_GO:0040007 growth,-13,6.7,11,30244,620,183,25,14,2.5,154|348|596|1026|1031|1785|2335|2697|3643|4088|4624|4881|5728|6259|6857|7040|7049|23236|23327|23411|54617|79068|79109|85004|89780,ADRB2|APOE|BCL2|CDKN1A|CDKN2C|DNM2|FN1|GJA1|INSR|SMAD3|MYH6|NPR1|PTEN|RYK|SYT1|TGFB1|TGFBR3|PLCB1|NEDD4L|SIRT1|INO80|FTO|MAPKAP1|RERG|WNT3A,-10
cluster_1_x_name,GO Biological Processes,19,GO:0035239,tube morphogenesis,19_GO:0032502 developmental process,-13,6.3,11,30244,679,183,26,14,2.6,348|596|857|1605|1855|2099|2335|4035|4088|4643|4846|4883|5156|5241|5587|5747|6201|6497|7040|7049|8503|8945|10266|23411|23654|89780,APOE|BCL2|CAV1|DAG1|DVL1|ESR1|FN1|LRP1|SMAD3|MYO1E|NOS3|NPR3|PDGFRA|PGR|PRKD1|PTK2|RPS7|SKI|TGFB1|TGFBR3|PIK3R3|BTRC|RAMP2|SIRT1|PLXNB2|WNT3A,-10
cluster_1_x_name,GO Biological Processes,19,GO:1901652,response to peptide,19_GO:0050896 response to stimulus,-13,7.9,12,30244,459,183,22,12,2.4,154|857|1373|1398|1445|1584|1605|2534|2697|3643|3663|4035|4792|5747|5970|6720|6833|7049|8503|8660|23236|23411,ADRB2|CAV1|CPS1|CRK|CSK|CYP11B1|DAG1|FYN|GJA1|INSR|IRF5|LRP1|NFKBIA|PTK2|RELA|SREBF1|ABCC8|TGFBR3|PIK3R3|IRS2|PLCB1|SIRT1,-10
cluster_1_x_name,KEGG Pathway,24,hsa05200,Pathways in cancer,,-13,7.2,11,30244,531,183,23,13,2.5,595|596|898|1026|1398|1488|1855|2099|2260|2335|3728|4088|4292|4792|5156|5728|5747|5970|6934|7040|8503|23236|89780,CCND1|BCL2|CCNE1|CDKN1A|CRK|CTBP2|DVL1|ESR1|FGFR1|FN1|JUP|SMAD3|MLH1|NFKBIA|PDGFRA|PTEN|PTK2|RELA|TCF7L2|TGFB1|PIK3R3|PLCB1|WNT3A,-9.9
cluster_1_x_name,GO Biological Processes,19,GO:0033674,positive regulation of kinase activity,19_GO:0048518 positive regulation of biological process,-13,8.1,12,30244,429,183,21,11,2.4,154|595|1026|1445|1605|2260|2268|2547|3643|5156|5208|5571|5587|5747|6259|7040|10979|23411|50507|51422|89780,ADRB2|CCND1|CDKN1A|CSK|DAG1|FGFR1|FGR|XRCC6|INSR|PDGFRA|PFKFB2|PRKAG1|PRKD1|PTK2|RYK|TGFB1|FERMT2|SIRT1|NOX4|PRKAG2|WNT3A,-9.8
cluster_1_x_name,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0048518 positive regulation of biological process,-13,7.5,11,30244,482,183,22,12,2.4,463|857|1398|1445|1605|1785|2309|2335|2534|3728|4088|5530|5581|5970|6237|6541|7525|8289|8861|10979|57580|89780,ZFHX3|CAV1|CRK|CSK|DAG1|DNM2|FOXO3|FN1|FYN|JUP|SMAD3|PPP3CA|PRKCE|RELA|RRAS|SLC7A1|YES1|ARID1A|LDB1|FERMT2|PREX1|WNT3A,-9.8
cluster_1_x_name,GO Biological Processes,19,GO:0001934,positive regulation of protein phosphorylation,19_GO:0048518 positive regulation of biological process,-13,6,11,30244,714,183,26,14,2.6,154|595|596|857|1026|1445|1605|1855|2260|2534|2547|3643|5217|5571|5587|5747|7040|7525|8503|10979|23411|28232|50507|51422|79109|89780,ADRB2|CCND1|BCL2|CAV1|CDKN1A|CSK|DAG1|DVL1|FGFR1|FYN|XRCC6|INSR|PFN2|PRKAG1|PRKD1|PTK2|TGFB1|YES1|PIK3R3|FERMT2|SIRT1|SLCO3A1|NOX4|PRKAG2|MAPKAP1|WNT3A,-9.8
cluster_1_x_name,WikiPathways,27,WP4659,Gastrin signaling pathway,,-13,19,15,30244,115,183,13,7.1,1.9,595|887|1026|1398|2309|2534|4792|5581|5587|5747|5970|7525|8503,CCND1|CCKBR|CDKN1A|CRK|FOXO3|FYN|NFKBIA|PRKCE|PRKD1|PTK2|RELA|YES1|PIK3R3,-9.8
cluster_1_x_name,WikiPathways,27,WP138,Androgen receptor signaling pathway,,-12,22,15,30244,91,183,12,6.6,1.8,595|857|898|1026|4088|5728|5747|5970|7329|8554|9612|23411,CCND1|CAV1|CCNE1|CDKN1A|SMAD3|PTEN|PTK2|RELA|UBE2I|PIAS1|NCOR2|SIRT1,-9.7
cluster_1_x_name,GO Biological Processes,19,GO:0032870,cellular response to hormone stimulus,19_GO:0050896 response to stimulus,-12,7.2,11,30244,505,183,22,12,2.4,358|490|857|1152|1373|1398|1445|1584|1655|2099|3643|5241|5581|5747|5970|6720|8289|8503|8660|10266|23236|23411,AQP1|ATP2B1|CAV1|CKB|CPS1|CRK|CSK|CYP11B1|DDX5|ESR1|INSR|PGR|PRKCE|PTK2|RELA|SREBF1|ARID1A|PIK3R3|IRS2|RAMP2|PLCB1|SIRT1,-9.5
cluster_1_x_name,GO Biological Processes,19,GO:0061061,muscle structure development,19_GO:0032502 developmental process,-12,7.2,11,30244,506,183,22,12,2.4,463|596|857|905|1106|1605|1655|4205|4624|4773|5156|5530|6497|6934|7040|7049|8572|10266|23411|50507|89780|150094,ZFHX3|BCL2|CAV1|CCNT2|CHD2|DAG1|DDX5|MEF2A|MYH6|NFATC2|PDGFRA|PPP3CA|SKI|TCF7L2|TGFB1|TGFBR3|PDLIM4|RAMP2|SIRT1|NOX4|WNT3A|SIK1,-9.5
cluster_1_x_name,GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-12,6.6,11,30244,573,183,23,13,2.5,164|348|406|1855|2268|2696|2697|3767|4988|5208|5217|5530|5581|5868|6558|6720|6833|6857|6934|7040|8660|11267|23236,AP1G1|APOE|BMAL1|DVL1|FGR|GIPR|GJA1|KCNJ11|OPRM1|PFKFB2|PFN2|PPP3CA|PRKCE|RAB5A|SLC12A2|SREBF1|ABCC8|SYT1|TCF7L2|TGFB1|IRS2|SNF8|PLCB1,-9.3
cluster_1_x_name,GO Biological Processes,19,GO:0071900,regulation of protein serine/threonine kinase activity,19_GO:0008152 metabolic process,-12,8.6,11,30244,364,183,19,10,2.3,154|348|595|857|898|905|1026|1031|1445|1843|2260|3643|5728|7040|10614|10979|23411|50507|80824,ADRB2|APOE|CCND1|CAV1|CCNE1|CCNT2|CDKN1A|CDKN2C|CSK|DUSP1|FGFR1|INSR|PTEN|TGFB1|HEXIM1|FERMT2|SIRT1|NOX4|DUSP16,-9.3
cluster_1_x_name,Canonical Pathways,11,M186,PID PDGFRB PATHWAY,,-12,17,14,30244,129,183,13,7.1,1.9,59|1398|1445|1785|2268|2534|4035|5581|5728|5868|7525|8503|9351,ACTA2|CRK|CSK|DNM2|FGR|FYN|LRP1|PRKCE|PTEN|RAB5A|YES1|PIK3R3|NHERF2,-9.2
cluster_1_x_name,GO Biological Processes,19,GO:0031667,response to nutrient levels,19_GO:0050896 response to stimulus,-12,7.4,11,30244,471,183,21,11,2.4,154|348|490|595|596|1026|1373|2309|2696|4988|5287|5571|5587|6581|6720|9213|23411|27347|51422|79109|84251,ADRB2|APOE|ATP2B1|CCND1|BCL2|CDKN1A|CPS1|FOXO3|GIPR|OPRM1|PIK3C2B|PRKAG1|PRKD1|SLC22A3|SREBF1|XPR1|SIRT1|STK39|PRKAG2|MAPKAP1|SGIP1,-9.2
cluster_1_x_name,GO Biological Processes,19,GO:0048732,gland development,19_GO:0032502 developmental process,-12,7.9,11,30244,421,183,20,11,2.3,595|596|857|887|1373|1605|2099|3643|4088|5156|5241|5774|5970|7040|7049|8660|8945|9612|10818|89780,CCND1|BCL2|CAV1|CCKBR|CPS1|DAG1|ESR1|INSR|SMAD3|PDGFRA|PGR|PTPN3|RELA|TGFB1|TGFBR3|IRS2|BTRC|NCOR2|FRS2|WNT3A,-9.2
